book_id,title,genre,description
3272,"Murder, Mystery, and Mayhem: A Novel",Mystery|Crime|Humor,"<Murder, Mystery, and Mayhem: A Novel> is a humorous traditional crime novel by Jennifer Carnell, following an elderly spinster who becomes involved in a murder mystery at the Waddington Castle Hotel."
3273,"Paint, Gold and Blood",Mystery|Thriller,"<Paint, Gold and Blood> is a novel by Michael Gilbert that follows a young man entangled in a conspiracy to steal an early Italian triptych in France, leading to a perilous international art smuggling ring financing terrorism."
3274,How Town (Harper Novel of Suspense),Mystery|LGBTQ+|Fiction,"<How Town (Harper Novel of Suspense)> is a mystery novel featuring Henry Rios, a gay Latino criminal defense lawyer, who returns to his hometown to defend a childhood acquaintance accused of murder, confronting past traumas and his relationship with his HIV-positive lover."
3275,Fairyland: A Novel,Fiction|LGBTQ+|Australian Literature,<Fairyland: A Novel> is a semi-autobiographical account of an aspiring writer's journey to accept his homosexuality in 1940s Sydney.
3276,King's Oak,Fiction|Southern Fiction|Romance,"<King's Oak> is a novel by Anne Rivers Siddons that follows Andy Calhoun as she escapes an abusive marriage to find solace in Pemberton, Georgia, where she becomes entangled with Tom Dabney, a passionate man dedicated to protecting the local wilderness from environmental threats."
3277,Outer Banks,Fiction|Southern Fiction|Women's Fiction,<Outer Banks> is a novel by Anne Rivers Siddons that explores the enduring bonds and complexities of female friendships among four sorority sisters from the 1960s who reunite decades later in North Carolina's Outer Banks.
3278,Leap Year: A Novel,Fiction|New York|Americana|LGBT,"<Leap Year: A Novel> is a satirical exploration of New York City's vibrant 1980s scene, following the intertwined lives of a diverse group of characters navigating love, ambition, and personal growth."
3279,"Small Victories: The Real World of a Teacher, Her Students and Their High School",Education|Nonfiction|Teaching|Memoir,"<Small Victories: The Real World of a Teacher, Her Students and Their High School> is a compelling narrative that follows English instructor Jessica Siegel's dedication to her students at Seaward Park High School in Manhattan's Lower East Side during the 1987-88 academic year."
3280,Country Cookies: An Old-Fashioned Collection,Cooking|Food & Drink,"<Country Cookies: An Old-Fashioned Collection> is a cookbook by Lisa Yockelson featuring 60 recipes for traditional, home-baked cookies."
3281,Any Woman's Blues,Fiction|Romance|Women's Fiction|Contemporary Fiction,"<Any Woman's Blues> is a novel by Erica Jong that explores the life of Leila Sand, a world-famous folk singer battling addictions to drugs, alcohol, and a younger man, as she seeks redemption through self-discovery and recovery."
3282,Nutripoints: The Breakthrough Point System for Optimal Nutrition,Health & Fitness|Diet & Nutrition|Self-Help,"<Nutripoints: The Breakthrough Point System for Optimal Nutrition> is a book that introduces a point-based system to evaluate the nutritional value of foods, aiming to help readers make healthier dietary choices."
3283,The Great and Secret Show: The First Book of the Art,Fantasy|Horror|Dark Fantasy,"<The Great and Secret Show: The First Book of the Art> is a fantasy novel by Clive Barker that explores the conflict between two men over the mystical dream sea called Quiddity, affecting the entire human race."
3284,Siege,Horror|Thriller|Mystery,"<Siege> is a psychological thriller by Domini Taylor, set in an isolated farmhouse in Southern France, where a family's vacation turns into a nightmare as they encounter hostile villagers and unexplained incidents leading to death and terror."
3285,Supreme Faith: Someday We'll Be Together,Biography|Music|Autobiography,"<Supreme Faith: Someday We'll Be Together> is a memoir by Mary Wilson, detailing her experiences as a founding member of The Supremes and the group's evolution after Diana Ross's departure."
3286,Why Do Dogs Have Wet Noses?: And Other Inponderables of Everyday Life,Nonfiction|Reference|Trivia|Humor,"<Why Do Dogs Have Wet Noses?: And Other Inponderables of Everyday Life> is a collection of intriguing questions and answers about everyday life, offering explanations for phenomena that encyclopedias don't address."
3287,Do Penguins Have Knees?: An Imponderables Book,Nonfiction|Humor|Trivia|Science,"<Do Penguins Have Knees?: An Imponderables Book> is a collection of answers to perplexing questions about everyday life, covering topics from food and popular culture to science and the human body."
3288,365 Easy Low-Calorie Recipes,Cooking|Health & Wellness|Dieting,<365 Easy Low-Calorie Recipes> is a cookbook offering a variety of low-calorie recipes for health-conscious individuals.
3289,365 Easy Italian Recipes. a John Boswell Associates Book (365 Ways Series),Cookbook|Italian Cooking,<365 Easy Italian Recipes.
3290,365 Easy One-Dish Meals (365 Ways),Cookbook|Cooking|Nonfiction,"<365 Easy One-Dish Meals (365 Ways)> is a cookbook offering a year's worth of simple, one-pot recipes designed to minimize cooking and clean-up time."
3291,Olympia: Paris in the Age of Manet,Art History|European History|Biography,"<Olympia: Paris in the Age of Manet> is a book by Otto Friedrich that explores the art and politics of Paris during the Second Empire, focusing on Édouard Manet's life and the artists he inspired."
3292,"Do or Die/for the First Time, Members of L.A.'s Most Notorious Teenage Gangs-The Crips and Bloods-Speak for Themselves.",Nonfiction|True Crime|Social Issues,"<Do or Die/for the First Time, Members of L.A.'s Most Notorious Teenage Gangs-The Crips and Bloods-Speak for Themselves.> is an insider account of teenage gangs, revealing the lives, loves, and battles of children who kill, from the only journalist ever allowed inside this closed and dangerous world."
3293,Mortal remains: A true story of ritual murder,True Crime|Nonfiction|Crime,"<Mortal remains: A true story of ritual murder> is an account of the organized underworld of ritualistic terror operating in a picturesque Massachusetts town, discussing the work of police, forensic scientists, and anthropologists to piece together a series of crimes."
3294,Bones: A Forensic Detective's Casebook,Nonfiction|True Crime|Science|Anthropology,"<Bones: A Forensic Detective's Casebook> is a compelling exploration of forensic anthropology, detailing real-life cases where skeletal remains were analyzed to solve crimes, authored by Smithsonian curator Douglas H."
3295,Peril and Promise: A Commentary on America,Nonfiction|Politics|Social Issues,"<Peril and Promise: A Commentary on America> is a critical analysis by John Chancellor, published by Harper & Row in 1990, examining America's post-World War II challenges in politics, economy, and social conditions."
3296,"10,000 Garden Questions: Answered by 20 Experts",Gardening|Reference,"<10,000 Garden Questions: Answered by 20 Experts> is a comprehensive guide offering expert advice on soils, fertilizers, planning, landscaping, and plant cultivation."
3297,The Perfect Murder: Five Great Mystery Writers Create the Perfect Crime,Mystery|Fiction|Short Stories|Anthologies,<The Perfect Murder: Five Great Mystery Writers Create the Perfect Crime> is a collection where five renowned mystery authors present their ingenious plans for the ideal crime.
3298,"I Love Paul Revere, Whether He Rode or Not",History|Nonfiction|American History|Trivia,"<I Love Paul Revere, Whether He Rode or Not> is a book by Richard Shenkman that debunks common myths and misconceptions about American history."
3299,Mafia Dynasty: The Rise and Fall of the Gambino Crime Family,True Crime|Nonfiction|Crime|History,"<Mafia Dynasty: The Rise and Fall of the Gambino Crime Family> is a comprehensive account of the Gambino family's evolution from its Sicilian origins to its dominance in New York's underworld, detailing key figures and events that shaped its legacy."
3300,Little Woman,Fiction|Literature,"<Little Woman> is a novel by Ellen Akins that follows Beauty Skinner, a tall woman who, after leaving her husband and infant twins, forms a commune called ""Women Abreast"" in northern Wisconsin, aiming to create a self-sufficient community with other women seeking empowerment."
3301,Tools of the writer's trade: Writers tell all about the equipment and services they find the best,Reference|Writing|Non-fiction,<Tools of the writer's trade: Writers tell all about the equipment and services they find the best> is a comprehensive guide offering insights into the tools and services that successful writers recommend for their craft.
3302,Too Good for Her Own Good: Breaking Free from the Burden of Female Responsibility,Nonfiction|Self Help|Psychology,<Too Good for Her Own Good: Breaking Free from the Burden of Female Responsibility> is a self-help book that explores how women can overcome the societal pressures of excessive responsibility to achieve personal fulfillment.
3303,Coyote Waits,Detective fiction|Mystery fiction|Crime fiction,<Coyote Waits> is a detective novel by Tony Hillerman featuring Navajo Tribal Police Officers Jim Chee and Joe Leaphorn as they investigate the murder of a fellow officer on the Navajo reservation.
3304,Return to Love: Reflections on the Principles of a Course in Miracles,Spirituality|Self Help|Nonfiction,<Return to Love: Reflections on the Principles of a Course in Miracles> is a spiritual guide by Marianne Williamson that explores how applying the principles of love from 'A Course in Miracles' can lead to inner peace and personal transformation.
3305,King of the Mountain,Mystery|Crime,"<King of the Mountain> is a mystery novel featuring private investigator Conan Flagg, who is called to a mountain lodge to solve a murder during a family reunion."
3306,Thicker Than Water,Romance|Suspense|Thriller,"<Thicker Than Water> is a romantic suspense novel by Maggie Shayne, featuring a news anchor entangled in a perilous past involving a cult leader and a determined journalist."
3307,The Last Raven,Thriller|Espionage|Mystery,"<The Last Raven> is a thriller novel by Craig Thomas, featuring British intelligence operative Patrick Hyde as he uncovers a conspiracy involving the Soviet Union and the CIA."
3308,Brush Up Your Shakespeare!,Nonfiction|Literature|Reference|Humor,<Brush Up Your Shakespeare!> is a delightful guide that explores the origins and meanings of Shakespeare's most famous phrases and expressions.
3309,Family Pictures: A Novel,Fiction|Contemporary Fiction|Family Saga,"<Family Pictures: A Novel> is a compelling narrative that explores the complexities of family dynamics, focusing on the Eberhardt family's journey through love, loss, and personal growth over several decades."
3310,Still Among the Living,Mystery|Hard-Boiled|Suspense,"<Still Among the Living> is a hard-boiled mystery novel featuring Matt Jacob, a private detective in Boston, who investigates a suspicious break-in at his therapist's office and uncovers a web of adultery, betrayal, and murder."
3311,Eisenhower: A Centennial Life,Biography|History,<Eisenhower: A Centennial Life> is a comprehensive biography that chronicles Dwight D.
3312,Holy Terror: Andy Warhol Close Up,Biography|Art|Nonfiction|Memoir,"<Holy Terror: Andy Warhol Close Up> is a candid memoir by Bob Colacello, offering an insider's perspective on the life and personality of the influential pop artist Andy Warhol."
3313,Two Way Toll: A Matt Jacob Novel of Suspense,Mystery|Suspense,"<Two Way Toll: A Matt Jacob Novel of Suspense> is a gripping tale where detective Matt Jacob returns to a seedy part of Boston to investigate a twenty-year-old murder, only to fall in love and uncover an elaborate conspiracy."
3314,365 Ways to Cook Chicken,Cookbook|Cooking|Food|Nonfiction,"<365 Ways to Cook Chicken> is a cookbook offering a year's worth of diverse chicken recipes, including baked, fried, barbecued, stewed, and roasted dishes, with special sections like ""Chicken Lite"" for low-calorie options and ""Chicken Quick"" for easy meals."
3315,Coyote Waits,Detective fiction|Mystery fiction|Crime fiction|Western fiction,<Coyote Waits> is a detective novel by Tony Hillerman featuring Navajo Tribal Police Officers Joe Leaphorn and Jim Chee as they investigate the murder of a fellow officer on the Navajo reservation.
3316,Coyote Waits,Detective fiction|Mystery|Crime|Western,"<Coyote Waits> is a detective novel by Tony Hillerman featuring Navajo Tribal Police officers Joe Leaphorn and Jim Chee as they investigate the murder of a fellow officer, delving into Navajo culture and mythology."
3317,The Rat Becomes Light,Fiction|Short Stories|Southern Literature,"<The Rat Becomes Light> is a collection of 14 short stories by Donald Secreast, set in Boehm, North Carolina, exploring the lives of working-class individuals connected to the Chalfant Furniture Factory."
3318,"White Trash, Red Velvet: Stories",Fiction|Short Stories|Regional Fiction,"<White Trash, Red Velvet: Stories> is a collection of interrelated short stories by Donald Secreast that explores the intricate web of family relationships and the natural cycles of growth and loss over several decades in a small-town North Carolina family."
3319,They All Laughed...: From the Light Bulbs to Lasers : The Fascinating Stories Behind the Great Inventions That Have Changed Our Lives,Nonfiction|History|Science|Technology,<They All Laughed...: From the Light Bulbs to Lasers : The Fascinating Stories Behind the Great Inventions That Have Changed Our Lives> is a book by Ira Flatow that explores the serendipitous origins of everyday inventions.
3320,Fruit Desserts: Delectable Seasonal Sweets,Cooking|Desserts,"<Fruit Desserts: Delectable Seasonal Sweets> is a cookbook by Lisa Yockelson offering nearly 100 recipes for fruit-based desserts, including compotes, salads, pies, cakes, tarts, turnovers, dumplings, puddings, shortcakes, fools, mousses, cobblers, crisps, glazed fruit, ice creams, and sherbets."
3321,Patton: A Genius for War,Biography|History|Military History|World War II,<Patton: A Genius for War> is a comprehensive biography of General George S.
3322,"Of kinkajous, capybaras, horned beetles, seladangs, and the oddest and most wonderful mammals, insects, birds, and plants of our world",Nature|Science|Non-fiction,"<Of kinkajous, capybaras, horned beetles, seladangs, and the oddest and most wonderful mammals, insects, birds, and plants of our world> is a compendium of over 150 of the most unusual mammals, birds, insects, and plants on earth, introducing readers to species like the pitcher plant, giant weta, strangler fig, pangolin, and flashlight fish."
3323,"28 Barbary Lane : A ""Tales of the City"" Omnibus",Fiction|LGBT|Humor,"<28 Barbary Lane : A ""Tales of the City"" Omnibus> is a collection of Armistead Maupin's first three novels, depicting the lives of diverse residents in 1970s San Francisco."
3324,Encyclopedia of Bad Taste,Humor|Nonfiction|Pop Culture|Reference,<Encyclopedia of Bad Taste> is a humorous exploration of American pop culture's most joyfully outrageous elements.
3325,John Train's Most Remarkable Occurrences,Humor|Reference,"<John Train's Most Remarkable Occurrences> is a collection of true, yet totally unbelievable happenings, including that involving the despondent wife who jumped out of her window and landed on her faithless husband, instantly killing him."
3326,Journey of the Heart: Intimate Relationship and the Path of Love,Spirituality|Relationships|Nonfiction|Psychology,<Journey of the Heart: Intimate Relationship and the Path of Love> is a book by John Welwood that explores how intimate relationships can serve as a path for personal and spiritual growth.
3327,Theo and Matilda: A Novel,Historical Fiction|Romance,"<Theo and Matilda: A Novel> is a tale of two lovers, Theo and Matilda, whose enduring love story unfolds across five different historical periods, from the 8th century to the present day."
3328,Love in Black and White: The Triumph of Love over Prejudice and Taboo,Memoir|Nonfiction|Biography|Race Relations,<Love in Black and White: The Triumph of Love over Prejudice and Taboo> is a personal account by Mark and Gail Mathabane detailing their interracial relationship and the challenges they overcame.
3329,The Tomcat's Wife and Other Stories,Fiction|Short Stories,<The Tomcat's Wife and Other Stories> is a collection of short stories by Carol Bly that depict the lives of ordinary Midwesterners facing unexpected challenges.
3330,Writings from the New Yorker: 1927-1976,Essays|Nonfiction|Journalism|Classics,<Writings from the New Yorker: 1927-1976> is a collection of 161 essays by E.
3331,The Fall of Paris: June 1940,History|War|Non-fiction,"<The Fall of Paris: June 1940> is a detailed account of the five weeks leading up to the German capture of Paris in 1940, focusing on the experiences of Parisians during this tumultuous period."
3332,The Enlightened Mind: An Anthology of Sacred Prose,Religion|Philosophy|Nonfiction,"<The Enlightened Mind: An Anthology of Sacred Prose> is a compilation of sacred writings from various religious traditions, including Hindu, Jewish, Buddhist, and Confucian scriptures, as well as works by Heraclitus, Plato, Chuang-tzu, Jesus, the Tibetan Book of the Dead, Chinese Zen Masters, Sufi masters, Meister Eckhart, Dame Julian of Norwich, Montaigne, Spinoza, Hasidic Masters, Native American orators, and modern writers like Blake, Emerson, Rilke, Einstein, Kafka, and Simone Weil."
3333,365 Ways to Cook Hamburger and Other Ground Meats,Cookbooks|Cooking,"<365 Ways to Cook Hamburger and Other Ground Meats> is a cookbook offering 365 recipes for preparing hamburger and other ground meats, including regional dishes featuring veal, chicken, turkey, lamb, and pork."
3334,"365 Snacks, Hors D'Oeuvres, and Appetizers",Cookbooks|Cooking,"<365 Snacks, Hors D'Oeuvres, and Appetizers> is a cookbook offering a recipe for every day of the year, focusing on finger foods, snacks, appetizers, and cocktail foods."
3335,The Dinosaur Man: Tales of Madness and Enchantment from the Back Ward,Psychology|Nonfiction|Mental Illness|Memoir,"<The Dinosaur Man: Tales of Madness and Enchantment from the Back Ward> is a psychologist's compassionate exploration of the delusional narratives of schizophrenic patients, revealing their struggles and resilience."
3336,Mirage: A Novel,Historical Fiction|Fantasy|Romance,"<Mirage: A Novel> is a tale of magic, power, and unnatural lust set in Ancient Egypt, where Prince Khwaemwaset seeks the mysterious Scroll of Thoth, which will give its possessor the power to raise the dead and thus attain immortality, but he encounters dark forces which he should never have awakened."
3337,The Man Who Changed the World: The Lives of Mikhail S. Gorbachev,Biography|History|Politics,<The Man Who Changed the World: The Lives of Mikhail S.
3338,Maybe the Moon: A Novel,Fiction|Humor|LGBTQ+,"<Maybe the Moon: A Novel> is a mordantly funny chronicle of Cadence Roth, a 31-inch-tall Hollywood actress navigating the challenges of the film industry and personal relationships."
3339,Black Hills/White Justice: The Sioux Nation Versus the United States : 1775 to the Present,History|Nonfiction|Indigenous Studies|Law,"<Black Hills/White Justice: The Sioux Nation Versus the United States : 1775 to the Present> is a detailed account of the Sioux Nation's legal battle against the United States over the Black Hills, highlighting the intersection of indigenous rights, U.S."
3340,Crossings: A White Man's Journey into Black America,Nonfiction|Race Relations|Social Issues,<Crossings: A White Man's Journey into Black America> is a book written by Walt Harrington and published by HarperCollins in 1993.
3341,Magic Hour,Mystery|Romance|Humor,"<Magic Hour> is a murder mystery set in the Hamptons, where Detective Steve Brady investigates the death of a filmmaker, leading to unexpected romantic entanglements."
3342,Timelock: How Life Got So Hectic and What You Can Do About It,Self-Help|Time Management|Stress Management,"<Timelock: How Life Got So Hectic and What You Can Do About It> is a book by Ralph Keyes that explores the phenomenon of 'timelock,' where increasing demands on our time lead to stress and offers strategies to regain control over our schedules."
3343,"Cathedral, Forge, and Waterwheel: Technology and Invention in the Middle Ages",History|Technology|Medieval Studies,"<Cathedral, Forge, and Waterwheel: Technology and Invention in the Middle Ages> is a comprehensive examination of medieval Europe's technological advancements and their global influences."
3344,The New Individualists: The Generation After the Organization Man,Nonfiction|Sociology|Business|Psychology,"<The New Individualists: The Generation After the Organization Man> is a study of the sons and daughters of the original organization men, Americans born between 1946 and 1964 and reared in households headed by fathers who worked in large organizations."
3345,Dracula Unbound,Science Fiction|Horror|Time Travel|Vampires,<Dracula Unbound> is a science fiction novel by Brian W.
3346,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Spirituality|Psychology|Self Help|Philosophy,<Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life> is a book by Thomas Moore that explores integrating spirituality and depth psychology into daily life to foster a soulful existence.
3347,Slow Hand: Women Writing Erotica,Erotica|Anthology|Fiction,"<Slow Hand: Women Writing Erotica> is an anthology of original erotic stories by and primarily for women, edited by Michele Slung."
3348,"Sex, Drugs, Rock and Roll",Drama|Monologues|Theater,"<Sex, Drugs, Rock and Roll> is a collection of monologues by Eric Bogosian that satirically portray various characters to comment on contemporary American society."
3349,Rubbish!: The Archaeology of Garbage,Nonfiction|Archaeology|Science|History,<Rubbish!: The Archaeology of Garbage> is a witty and erudite investigation into all aspects of the phenomenon of garbage.
3350,"Writing Past Dark: Envy, Fear, Distractions and other Dilemmas in the Writer's Life",Nonfiction|Essays|Self-Help,"<Writing Past Dark: Envy, Fear, Distractions and other Dilemmas in the Writer's Life> is a book that explores the emotional challenges writers face, offering insights and strategies to overcome obstacles like envy, fear, and distraction."
3351,The Unmade Bed: Sensual Writing on Married Love,Anthology|Erotica|Romance,"<The Unmade Bed: Sensual Writing on Married Love> is an anthology edited by Laura Chester, featuring erotic and romantic writings by contemporary authors that explore the emotional and sensual aspects of married life."
3352,Maqroll: Three Novellas : The Snow of the Admiral/Ilona Comes With the Rain/UN Bel Morir,Fiction|Latin American Literature|Adventure|Literary Fiction,"<Maqroll: Three Novellas : The Snow of the Admiral/Ilona Comes With the Rain/UN Bel Morir> is a collection of three novellas by Colombian author Álvaro Mutis, following the adventures of Maqroll the Gaviero, a solitary traveler navigating the tropics in search of meaning."
3353,Eat These Words: A Delicious Collection of Fat-Free Food for Thought,Reference|Humor,"<Eat These Words: A Delicious Collection of Fat-Free Food for Thought> is a compilation of witty quotations on food, eating, diet, exercise, and the pleasures of the table."
3354,"365 Ways to Wok: Stir-Fries, Stews, Sautees",Cookbook|Cooking Methods|Wok Cooking,"<365 Ways to Wok: Stir-Fries, Stews, Sautees> is a cookbook offering 365 recipes for preparing a variety of dishes using a wok."
3355,Back to Barbary Lane: The Final Tales of the City Omnibus,Fiction|LGBT|Humorous Fiction,<Back to Barbary Lane: The Final Tales of the City Omnibus> is a collection of Armistead Maupin's novels that blend great storytelling with incisive social commentary on American culture from the seventies through the first two decades of the new millennium.
3356,"The Cooking of the Eastern Mediterranean: 215 Healthy, Vibrant, and Inspired Recipes",Cookbook|Nonfiction|Food & Drink|Middle Eastern,"<The Cooking of the Eastern Mediterranean: 215 Healthy, Vibrant, and Inspired Recipes> is a cookbook by Paula Wolfert that explores the healthy and vibrant cuisines of the Eastern Mediterranean, featuring 215 recipes from regions such as Turkey, Syria, Greece, and the Balkans."
3357,A Medieval Home Companion: Housekeeping in the Fourteenth Century,History|Nonfiction|Medieval|Home Economics,"<A Medieval Home Companion: Housekeeping in the Fourteenth Century> is a guide to medieval household management, originally written in 1394 by a Parisian burgher for his young bride, covering topics from worship and dress to gardening and kitchen practices."
3358,City of the Mind,Literary Fiction|Historical Fiction|Contemporary Fiction,<City of the Mind> is a novel by Penelope Lively that explores the intertwining of past and present through the experiences of an architect in London.
3359,Cleopatra's Sister: A Novel,Fiction|Romance|Historical Fiction,"<Cleopatra's Sister: A Novel> is a tale of a paleontologist and a journalist who, after a forced landing in the fictional country of Callimbia, become entangled in a revolution that intertwines their personal and political lives."
3360,The Evolving Self: A Psychology for the Third Millennium,Psychology|Self-Help|Philosophy,"<The Evolving Self: A Psychology for the Third Millennium> is a book by Mihaly Csikszentmihalyi that explores how understanding our evolutionary past can help us build a stable, meaningful future."
3361,Real Magic: Creating Miracles in Everyday Life,Self Help|Spirituality|Nonfiction|Personal Development,<Real Magic: Creating Miracles in Everyday Life> is a book by Dr.
3362,Working Vice: The Gritty True Story of Lt. Lucie J. Duvall,Biography|True Crime|Law Enforcement,<Working Vice: The Gritty True Story of Lt.
3363,The 10 Dumbest Mistakes Smart People Make and How to Avoid Them: Simple and Sure Techniques for Gaining Greater Control of Your Life,Self-Help|Psychology|Non-Fiction,<The 10 Dumbest Mistakes Smart People Make and How to Avoid Them: Simple and Sure Techniques for Gaining Greater Control of Your Life> is a guide that identifies common cognitive errors and offers practical strategies to enhance personal and professional well-being.
3364,Stars Desserts,Cookbook|Cooking|Desserts,"<Stars Desserts> is a cookbook by Emily Luchetti featuring 150 dessert recipes from the popular San Francisco restaurant, including cakes, pies, tarts, cookies, ice creams, and puddings."
3365,Lost Boys,Horror|Supernatural Thriller|Suspense,"<Lost Boys> is a horror novel by Orson Scott Card that follows a Mormon family's unsettling experiences after moving to Steuben, North Carolina, where their son becomes involved with imaginary friends linked to missing children."
3366,"High Rise: How 1,000 Men and Women Worked Around the Clock for Five Years and Lost $200 Million Building a Skyscraper",Nonfiction|Architecture|Business,"<High Rise: How 1,000 Men and Women Worked Around the Clock for Five Years and Lost $200 Million Building a Skyscraper> is a detailed account of the ambitious and ultimately unsuccessful construction of a Manhattan skyscraper, highlighting the challenges and complexities of real estate development."
3367,The Sweet Hereafter: A Novel,Fiction|Literary Fiction|Contemporary Fiction,"<The Sweet Hereafter: A Novel> is a story that begins with a school bus accident, using four different narrators to create a small-town morality play that addresses one of life's most agonizing questions: when the worst thing happens, who do you blame?."
3368,"Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History",Nonfiction|History|LGBT|Social Justice,"<Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History> is an oral history by Eric Marcus chronicling the evolution of the gay and lesbian civil rights movement in the United States from 1945 to 1990."
3369,Orwell: The Authorized Biography,Biography|Nonfiction|History,"<Orwell: The Authorized Biography> is a comprehensive exploration of George Orwell's life, revealing his personal experiences and literary contributions."
3370,"Rituals for Our Times: Celebrating, Healing, and Changing Our Lives and Our Relationships",Psychology|Nonfiction|Relationships|Spirituality,"<Rituals for Our Times: Celebrating, Healing, and Changing Our Lives and Our Relationships> is a guide that explores how rituals can mark transitions, express values, heal the past, and deepen relationships across various family structures."
3371,The Bartender's Bible : 1001 Mixed Drinks,Cookbooks|Food & Drink|Cocktails,"<The Bartender's Bible : 1001 Mixed Drinks> is a comprehensive guide offering over 1,000 cocktail recipes and essential bar setup information for both professionals and enthusiasts."
3372,Searoad: Chronicles of Klatsand,Fiction|Short Stories|Literary Fiction,"<Searoad: Chronicles of Klatsand> is a series of interconnected stories set in a small Oregon coastal town, exploring the lives of its residents and their community over a century."
3373,Vendetta: American Express and the Smearing of Edmond Safra,Business|Nonfiction|History|Biography,<Vendetta: American Express and the Smearing of Edmond Safra> is a book written by Bryan Burrough and published by HarperCollins in 1992.
3374,Sacred Clowns,Mystery|Detective Fiction|Crime Fiction,"<Sacred Clowns> is a crime novel by Tony Hillerman, the eleventh in the Joe Leaphorn/Jim Chee Navajo Tribal Police series, first published in 1993."
3375,After All These Years,Mystery|Humor|Contemporary Fiction,"<After All These Years> is a witty mystery novel by Susan Isaacs, following Rosie Meyers as she seeks the real killer after her husband is found murdered in their kitchen."
3376,Journals Mid-Fifties 1954-1958: Allen Ginsberg ; Edited by Gordon Ball,Biography|Poetry|Literary Criticism,"<Journals Mid-Fifties 1954-1958: Allen Ginsberg ; Edited by Gordon Ball> is a collection of Allen Ginsberg's personal journals from the mid-1950s, offering insights into his emotional life, relationships, travels, and the development of his poetry."
3377,La Storia: Five Centuries of the Italian American Experience,History|Nonfiction|Cultural Studies,"<La Storia: Five Centuries of the Italian American Experience> is a comprehensive account of Italian American immigration, combining historical research with personal narratives of immigrants and their descendants."
3378,Feather Crowns: A Novel,Historical Fiction|Literary Fiction|Family Life,"<Feather Crowns: A Novel> is a poignant tale of Christianna Wheeler, a Kentucky farm wife who, in 1900, gives birth to North America's first recorded set of quintuplets, leading her family through unexpected fame and personal trials."
3379,"How to Live Between Office Visits: A Guide to Life, Love and Health",Health|Self-Help|Psychology,"<How to Live Between Office Visits: A Guide to Life, Love and Health> is a compassionate guide by Dr."
3380,Pigs in Heaven,Fiction|Contemporary Fiction|Literary Fiction|Native American Fiction,"<Pigs in Heaven> is a novel by Barbara Kingsolver that continues the story of Taylor Greer and her adopted Cherokee daughter, Turtle, as they navigate the complexities of family, identity, and cultural heritage."
3381,"Singing at the Top of Our Lungs: Women, Love, and Creativity",Nonfiction|Women's Studies|Self-Help|Psychology,"<Singing at the Top of Our Lungs: Women, Love, and Creativity> is a book that explores how women balance love and creativity, based on research with over 300 women from diverse backgrounds."
3382,Talking to High Monks in the Snow: An Asian American Odyssey,Memoir|Nonfiction|Travel|Biography,<Talking to High Monks in the Snow: An Asian American Odyssey> is a memoir by Lydia Minatoya chronicling her journey of self-discovery as a Japanese-American woman navigating cultural identity through travels in Asia.
3383,The Dance of Deception: Pretending and Truth-Telling in Women's Lives,Psychology|Self Help|Nonfiction|Feminism,<The Dance of Deception: Pretending and Truth-Telling in Women's Lives> is a book by Harriet Goldhor Lerner that explores how women navigate deception and truth-telling in their relationships.
3384,"How to Bake : Complete Guide to Perfect Cakes, Cookies, Pies, Tarts, Breads, Pizzas, Muffins,",Cookbooks|Cooking|Nonfiction|Food Reference,"<How to Bake : Complete Guide to Perfect Cakes, Cookies, Pies, Tarts, Breads, Pizzas, Muffins,> is a comprehensive guide by Nick Malgieri, offering detailed recipes and techniques for a wide array of sweet and savory baked goods."
3385,A Medieval Book of Seasons,Nonfiction|History|Medieval,"<A Medieval Book of Seasons> is an illustrated exploration of daily life in medieval Europe, highlighting seasonal rhythms and activities."
3386,"Asimov Laughs Again: More Than 700 Favorite Jokes, Limericks, and Anecdotes",Humor|Nonfiction|Trivia|Reference,"<Asimov Laughs Again: More Than 700 Favorite Jokes, Limericks, and Anecdotes> is a collection of over 700 of Isaac Asimov's favorite jokes, limericks, and anecdotes."
3387,"Mythic Worlds, Modern Words: On the Art of James Joyce (Campbell, Joseph, Works.)",Nonfiction|Literary Criticism|Mythology|Anthropology,"<Mythic Worlds, Modern Words: On the Art of James Joyce (Campbell, Joseph, Works.)> is a collection of Joseph Campbell's writings and lectures analyzing James Joyce's major works through the lenses of depth psychology, comparative religion, anthropology, and art history."
3388,Sacred Clowns,Detective fiction|Mystery fiction|Crime fiction,"<Sacred Clowns> is a crime novel by Tony Hillerman, the eleventh in the Joe Leaphorn/Jim Chee Navajo Tribal Police series, first published in 1993."
3389,"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly",Health|Cookbooks|Nonfiction|Food,"<Eat More, Weigh Less: Dr."
3390,365 Great Cookies and Brownies,Cooking|Food & Drink,"<365 Great Cookies and Brownies> is a cookbook featuring 365 scrumptious recipes for cookies and brownies, including inventive variations on the chocolate-chip cookie, old favorites, interesting new ideas, low-fat suggestions, and other delectable treats."
